var_graph,label,rate1,rate2
2,Saudi Arabia,26.3,29.6
1,Saudi Arabia,25,27.9
2,USA,25,28.3
1,USA,25.5,28.5
2,Argentina,23.8,27.5
1,Argentina,25.4,27.5
2,UK,24.2,27
1,UK,24.7,27.4
2,Ghana,20.9,24.3
1,Ghana,21,22.9
2,China,21.9,22.9
1,China,21.6,22.9
2,India,20.5,21.3
1,India,21,21
